6568,4237,2611,470,6128,244,
5204,7210,4325,5501,5110,1940,
5069,1254,5980,6137,5182,5676,
2337,2767,85,5610,6627,3658,
288,3620,216,5535,3546,3452,
4409,4988,2959,5056,5227,7203,
5152,4237,2474,6615,5927,5501,
6627,6128,5182,470,4325,3452,
5204,6137,3620,4409,288,2337,
5227,5152,5980,85,3658,5069,
1940,244,3546,6615,2474,2959,
5535,216,4988,5110,7203,5676,
5927,5056,2611,1254,7210,6568,
5610,5980,3546,2767,5204,244,
5069,4237,6128,4409,5535,6615,
5110,6137,5227,5182,6568,2474,
288,5501,85,5610,2611,7203,
470,3658,216,7210,3620,5927,
6627,5056,5676,3452,2337,1254,
4988,5152,4325,1940,2959,2767,
244,6568,5069,5927,216,4409,
5676,2611,3658,288,5535,6627,
5204,470,5610,2474,3452,4988,
5227,2337,5182,6128,3546,5152,
3620,1254,5056,85,5110,4237,
4325,6615,1940,5980,7210,7203,
6137,288,2767,5501,2959,5069,
85,5182,3452,6568,5204,5927,
7203,5152,5535,4325,2474,5980,
4988,2337,6137,3658,244,4237,
5610,5676,7210,3620,1940,4409,
6615,470,5110,5501,2767,6128,
216,3546,5227,6627,2611,1254,
2959,7203,5927,5056,5535,2337,
5110,3620,6568,4988,3658,5980,
2611,5501,3452,3546,4409,6137,
2767,216,5152,85,5056,5204,
4237,470,2959,5182,1254,4325,
7210,6627,244,2474,5227,288,
1940,5610,6128,5676,5069,6615,
3452,7203,4409,3658,5182,5152,
5535,5110,5204,6627,2959,6137,
470,5676,5501,244,5227,6615,
2767,5927,2474,2611,4988,3620,
5980,6568,2337,216,6128,7210,
1254,85,5610,288,4237,1940,
5056,4325,5501,5069,5204,3546,
4409,2474,6627,6568,2959,5535,
5227,4988,6128,5980,5927,288,
6615,6137,5056,3620,470,85,
3546,1254,2767,5152,3452,7210,
7203,3658,4325,216,5676,244,
5182,5110,2611,2337,5069,5610,
4237,5535,2767,1940,5227,6568,
6128,2474,1254,3658,5056,4409,
3546,6615,288,5110,6627,4988,
3452,244,3620,5152,1940,2611,
5204,5980,4237,7203,5069,470,
4325,5676,2337,6137,85,5927,
2959,7210,5182,5501,5610,216,
244,288,5056,5980,2611,2767,
5676,4409,85,2474,3546,470,
2337,6615,5204,5227,3452,3658,
7210,5069,5535,1254,4988,5501,
7203,6128,6568,4325,5610,3620,
5927,6627,4237,2959,5152,5110,
6137,1940,3658,5182,216,5056,
2474,5501,7203,2767,6568,5676,
2959,5204,1254,6128,5980,3620,
2611,4409,5227,216,4325,5110,
5927,5069,1940,3546,2337,6627,
4988,5610,288,5152,6137,470,
5182,244,5535,7210,85,6615,
3452,5980,6627,4237,5501,4409,
2337,1940,2474,1254,288,470,
3620,5182,5069,2611,4325,2959,
3658,7210,3546,4237,7203,6137,
5535,5927,5227,5056,2767,5610,
6128,3452,5110,244,85,4988,
6568,6615,216,5676,5152,5204,
